"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Malaysia","2011","Total","June","Data tabulated by year of occurrence","Final figure, complete","2014","43449",""
"Malaysia","2011","Total","July","Data tabulated by year of occurrence","Final figure, complete","2014","43009",""
"Malaysia","2011","Total","August","Data tabulated by year of occurrence","Final figure, complete","2014","44725",""
"Malaysia","2011","Total","September","Data tabulated by year of occurrence","Final figure, complete","2014","45071",""
"Malaysia","2011","Total","October","Data tabulated by year of occurrence","Final figure, complete","2014","45699",""
"Malaysia","2011","Total","November","Data tabulated by year of occurrence","Final figure, complete","2014","43248",""
"Malaysia","2011","Total","December","Data tabulated by year of occurrence","Final figure, complete","2014","42938",""
"Malaysia","2010","Total","Total","Data tabulated by year of occurrence","Provisional figure","2012","475816",""
"Malaysia","2010","Total","January","Data tabulated by year of occurrence","Provisional figure","2012","39422",""
"Malaysia","2010","Total","February","Data tabulated by year of occurrence","Provisional figure","2012","36108",""
"Malaysia","2010","Total","March","Data tabulated by year of occurrence","Provisional figure","2012","41870",""
"Malaysia","2010","Total","April","Data tabulated by year of occurrence","Provisional figure","2012","39619",""
"Malaysia","2010","Total","May","Data tabulated by year of occurrence","Provisional figure","2012","38849",""
"Malaysia","2010","Total","June","Data tabulated by year of occurrence","Provisional figure","2012","41374",""
"Malaysia","2010","Total","July","Data tabulated by year of occurrence","Provisional figure","2012","41981",""
"Malaysia","2010","Total","August","Data tabulated by year of occurrence","Provisional figure","2012","42976",""
"Malaysia","2010","Total","September","Data tabulated by year of occurrence","Provisional figure","2012","43051",""
"Malaysia","2010","Total","October","Data tabulated by year of occurrence","Provisional figure","2012","41998",""
"Malaysia","2010","Total","November","Data tabulated by year of occurrence","Provisional figure","2012","40193",""
"Malaysia","2010","Total","December","Data tabulated by year of occurrence","Provisional figure","2012","28375",""
"Malaysia","2009","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2012","496313","1"
"Malaysia","2009","Total","January","Data tabulated by year of occurrence","Final figure, complete","2012","39734","1"
"Malaysia","2009","Total","February","Data tabulated by year of occurrence","Final figure, complete","2012","37484","1"
"Malaysia","2009","Total","March","Data tabulated by year of occurrence","Final figure, complete","2012","42385","1"
"Malaysia","2009","Total","April","Data tabulated by year of occurrence","Final figure, complete","2012","40308","1"
"Malaysia","2009","Total","May","Data tabulated by year of occurrence","Final figure, complete","2012","40809","1"
"Malaysia","2009","Total","June","Data tabulated by year of occurrence","Final figure, complete","2012","40222","1"
"Malaysia","2009","Total","July","Data tabulated by year of occurrence","Final figure, complete","2012","42644","1"
"Malaysia","2009","Total","August","Data tabulated by year of occurrence","Final figure, complete","2012","42143","1"
"Malaysia","2009","Total","September","Data tabulated by year of occurrence","Final figure, complete","2012","43846","1"
"Malaysia","2009","Total","October","Data tabulated by year of occurrence","Final figure, complete","2012","44369","1"
"Malaysia","2009","Total","November","Data tabulated by year of occurrence","Final figure, complete","2012","41050","1"
"Malaysia","2009","Total","December","Data tabulated by year of occurrence","Final figure, complete","2012","41319","1"
"Malaysia","2008","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2011","487346","1"
"Malaysia","2008","Total","January","Data tabulated by year of occurrence","Final figure, complete","2011","39169","1"
"Malaysia","2008","Total","February","Data tabulated by year of occurrence","Final figure, complete","2011","36235","1"
"Malaysia","2008","Total","March","Data tabulated by year of occurrence","Final figure, complete","2011","39950","1"
"Malaysia","2008","Total","April","Data tabulated by year of occurrence","Final figure, complete","2011","38847","1"
"Malaysia","2008","Total","May","Data tabulated by year of occurrence","Final figure, complete","2011","40476","1"
"Malaysia","2008","Total","June","Data tabulated by year of occurrence","Final figure, complete","2011","37589","1"
"Malaysia","2008","Total","July","Data tabulated by year of occurrence","Final figure, complete","2011","42758","1"
"Malaysia","2008","Total","August","Data tabulated by year of occurrence","Final figure, complete","2011","42698","1"
"Malaysia","2008","Total","September","Data tabulated by year of occurrence","Final figure, complete","2011","44495","1"
"Malaysia","2008","Total","October","Data tabulated by year of occurrence","Final figure, complete","2011","42615","1"
"Malaysia","2008","Total","November","Data tabulated by year of occurrence","Final figure, complete","2011","41146","1"
"Malaysia","2008","Total","December","Data tabulated by year of occurrence","Final figure, complete","2011","41368","1"
"Malaysia","2007","Total","Total","Data tabulated by year of occurrence","Provisional figure","2008","456443","1"
"Malaysia","2007","Total","January","Data tabulated by year of occurrence","Provisional figure","2008","38409","1"
"Malaysia","2007","Total","February","Data tabulated by year of occurrence","Provisional figure","2008","35220","1"
"Malaysia","2007","Total","March","Data tabulated by year of occurrence","Provisional figure","2008","40032","1"
"Malaysia","2007","Total","April","Data tabulated by year of occurrence","Provisional figure","2008","36544","1"
"Malaysia","2007","Total","May","Data tabulated by year of occurrence","Provisional figure","2008","39401","1"
"Malaysia","2007","Total","June","Data tabulated by year of occurrence","Provisional figure","2008","36302","1"
"Malaysia","2007","Total","July","Data tabulated by year of occurrence","Provisional figure","2008","40583","1"
"Malaysia","2007","Total","August","Data tabulated by year of occurrence","Provisional figure","2008","41336","1"
"Malaysia","2007","Total","September","Data tabulated by year of occurrence","Provisional figure","2008","40948","1"
"Malaysia","2007","Total","October","Data tabulated by year of occurrence","Provisional figure","2008","41132","1"
"Malaysia","2007","Total","November","Data tabulated by year of occurrence","Provisional figure","2008","39154","1"
"Malaysia","2007","Total","December","Data tabulated by year of occurrence","Provisional figure","2008","27382","1"
"Malaysia","2006","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2008","465112","1"
"Malaysia","2006","Total","January","Data tabulated by year of occurrence","Final figure, complete","2008","36930","1"
"Malaysia","2006","Total","February","Data tabulated by year of occurrence","Final figure, complete","2008","34285","1"
"Malaysia","2006","Total","March","Data tabulated by year of occurrence","Final figure, complete","2008","38954","1"
"Malaysia","2006","Total","April","Data tabulated by year of occurrence","Final figure, complete","2008","36822","1"
"Malaysia","2006","Total","May","Data tabulated by year of occurrence","Final figure, complete","2008","38718","1"
"Malaysia","2006","Total","June","Data tabulated by year of occurrence","Final figure, complete","2008","36908","1"
"Malaysia","2006","Total","July","Data tabulated by year of occurrence","Final figure, complete","2008","39050","1"
"Malaysia","2006","Total","August","Data tabulated by year of occurrence","Final figure, complete","2008","42710","1"
"Malaysia","2006","Total","September","Data tabulated by year of occurrence","Final figure, complete","2008","41749","1"
"Malaysia","2006","Total","October","Data tabulated by year of occurrence","Final figure, complete","2008","42191","1"
"Malaysia","2006","Total","November","Data tabulated by year of occurrence","Final figure, complete","2008","38643","1"
"Malaysia","2006","Total","December","Data tabulated by year of occurrence","Final figure, complete","2008","38152","1"
"Malaysia","2005","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2008","469204","1"
"Malaysia","2005","Total","January","Data tabulated by year of occurrence","Final figure, complete","2008","37303","1"
"Malaysia","2005","Total","February","Data tabulated by year of occurrence","Final figure, complete","2008","34189","1"
"Malaysia","2005","Total","March","Data tabulated by year of occurrence","Final figure, complete","2008","39940","1"
"Malaysia","2005","Total","April","Data tabulated by year of occurrence","Final figure, complete","2008","38024","1"
"Malaysia","2005","Total","May","Data tabulated by year of occurrence","Final figure, complete","2008","40338","1"
"Malaysia","2005","Total","June","Data tabulated by year of occurrence","Final figure, complete","2008","38277","1"
"Malaysia","2005","Total","July","Data tabulated by year of occurrence","Final figure, complete","2008","38370","1"
"Malaysia","2005","Total","August","Data tabulated by year of occurrence","Final figure, complete","2008","42006","1"
"Malaysia","2005","Total","September","Data tabulated by year of occurrence","Final figure, complete","2008","41987","1"
"Malaysia","2005","Total","October","Data tabulated by year of occurrence","Final figure, complete","2008","43214","1"
"Malaysia","2005","Total","November","Data tabulated by year of occurrence","Final figure, complete","2008","38292","1"
"Malaysia","2005","Total","December","Data tabulated by year of occurrence","Final figure, complete","2008","37264","1"
"Malaysia","2004","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2007","477768",""
"Malaysia","2004","Total","January","Data tabulated by year of occurrence","Final figure, complete","2007","38569",""
"Malaysia","2004","Total","February","Data tabulated by year of occurrence","Final figure, complete","2007","36687",""
"Malaysia","2004","Total","March","Data tabulated by year of occurrence","Final figure, complete","2007","40066",""
"Malaysia","2004","Total","April","Data tabulated by year of occurrence","Final figure, complete","2007","38912",""
"Malaysia","2004","Total","May","Data tabulated by year of occurrence","Final figure, complete","2007","39636",""
"Malaysia","2004","Total","June","Data tabulated by year of occurrence","Final figure, complete","2007","39482",""
"Malaysia","2004","Total","July","Data tabulated by year of occurrence","Final figure, complete","2007","39308",""
"Malaysia","2004","Total","August","Data tabulated by year of occurrence","Final figure, complete","2007","41028",""
"Malaysia","2004","Total","September","Data tabulated by year of occurrence","Final figure, complete","2007","42490",""
"Malaysia","2004","Total","October","Data tabulated by year of occurrence","Final figure, complete","2007","43435",""
"Malaysia","2004","Total","November","Data tabulated by year of occurrence","Final figure, complete","2007","39577",""
"Malaysia","2004","Total","December","Data tabulated by year of occurrence","Final figure, complete","2007","38578",""
"Malaysia","2003","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2007","480083",""
"Malaysia","2003","Total","January","Data tabulated by year of occurrence","Final figure, complete","2007","38519",""
"Malaysia","2003","Total","February","Data tabulated by year of occurrence","Final figure, complete","2007","35277",""
"Malaysia","2003","Total","March","Data tabulated by year of occurrence","Final figure, complete","2007","39841",""
"Malaysia","2003","Total","April","Data tabulated by year of occurrence","Final figure, complete","2007","38509",""
"Malaysia","2003","Total","May","Data tabulated by year of occurrence","Final figure, complete","2007","40658",""
"Malaysia","2003","Total","June","Data tabulated by year of occurrence","Final figure, complete","2007","40290",""
"Malaysia","2003","Total","July","Data tabulated by year of occurrence","Final figure, complete","2007","41064",""
"Malaysia","2003","Total","August","Data tabulated by year of occurrence","Final figure, complete","2007","40523",""
"Malaysia","2003","Total","September","Data tabulated by year of occurrence","Final figure, complete","2007","42137",""
"Malaysia","2003","Total","October","Data tabulated by year of occurrence","Final figure, complete","2007","43183",""
"Malaysia","2003","Total","November","Data tabulated by year of occurrence","Final figure, complete","2007","40562",""
"Malaysia","2003","Total","December","Data tabulated by year of occurrence","Final figure, complete","2007","39520",""
"Malaysia","2002","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2007","484037",""
"Malaysia","2002","Total","January","Data tabulated by year of occurrence","Final figure, complete","2007","39880",""
