id,year,parl_code,won_party_code,won_remarks,total,total_electionday,spoilt,unreturned_ballot,race_malay,race_malay_p,race_indian,race_indian_p,race_chinese,race_chinese_p,race_others,race_iban,race_orgulu,race_bidayuh,race_malanau,race_muslimbumiputera,race_nonmuslimbumiputera,race_bumisabah,race_bumisarawak,race_orgasli,analysis
341,2008,P119,PAS,,49892,33933,191,0,67,0.0,9,0.0,24,0.0,0,0,0,0,0,0,0,0,0,0,"- <a href=\""http://www.malaysiakini.com/news/79001\"" target=\""_blank\"" class=\""analysis\"">Lo' Lo' woos Kg Pandan Indian Settlement</a>\n- <a href=\""http://www.malaysiakini.com/news/78654\"" target=\""_blank\"" class=\""analysis\"">Reversal of roles in Titiwangsa</a>"
342,2008,P120,DAP,,59986,40441,466,630,15,0.0,10,0.0,75,0.0,0,0,0,0,0,0,0,0,0,0,"- <a href=\""http://www.malaysiakini.com/news/78945\"" target=\""_blank\"" class=\""analysis\"">'Dr Ayam' suffers Chinese guild setback in Bkt Bintang</a>\n- <a href=\""http://www.malaysiakini.com/news/78587\"" target=\""_blank\"" class=\""analysis\"">DAP-MCA joust for Bkt Bintan"
343,2008,P121,PKR,,56650,41289,239,0,55,0.0,18,0.0,27,0.0,0,0,0,0,0,0,0,0,0,0,"- <a href=\""http://www.malaysiakini.com/news/78988\"" target=\""_blank\"" class=\""analysis\"">Shahrizat: Look at my track record</a>\n"
344,2008,P122,DAP,,76891,58207,174,65,6,0.0,5,0.0,87,0.0,0,0,0,0,0,0,0,0,0,0,"- <a href=\""http://www.malaysiakini.com/news/79064\"" target=\""_blank\"" class=\""analysis\"">Kok raps rival over 'sexist' posters</a>\n- <a href=\""http://www.malaysiakini.com/news/79043\"" target=\""_blank\"" class=\""analysis\"">Seputeh: Lamb no match for the lion</a>\n"
345,2008,P123,DAP,,68725,50571,244,121,10,0.0,6,0.0,84,0.0,0,0,0,0,0,0,0,0,0,0,"- <a href=\""http://www.malaysiakini.com/news/79008\"" target=\""_blank\"" class=\""analysis\"">'MCA on equal status with Alam Flora, not Umno'</a>\n- <a href=\""http://www.malaysiakini.com/news/78889\"" target=\""_blank\"" class=\""analysis\"">Chinese schools key poll issue in "
346,2008,P124,PKR,,72628,54995,557,707,53,0.0,7,0.0,40,0.0,1,0,0,0,0,0,0,0,0,0,
347,2008,P125,UMNO,,6608,5416,38,36,95,0.0,4,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,
348,2008,P126,UMNO,,38682,29029,769,396,62,0.0,7,0.0,28,0.0,3,0,0,0,0,0,0,0,0,0,
349,2008,P127,UMNO,,53478,39322,1054,0,58,0.0,14,0.0,28,0.0,1,0,0,0,0,0,0,0,0,0,
350,2008,P128,DAP,,84675,64437,2248,197,42,0.0,12,0.0,46,0.0,0,0,0,0,0,0,0,0,0,0,
351,2008,P129,UMNO,,42328,31734,908,0,77,0.0,5,0.0,18,0.0,0,0,0,0,0,0,0,0,0,0,
352,2008,P130,DAP,,72115,56654,1261,2,28,0.0,20,0.0,52,0.0,1,0,0,0,0,0,0,0,0,0,
353,2008,P131,UMNO,,62896,48901,1086,511,69,0.0,16,0.0,15,0.0,0,0,0,0,0,0,0,0,0,0,"- <a href=\""http://www.malaysiakini.com/news/78883\"" target=\""_blank\"" class=\""analysis\"">PKR alleges BN hooliganism in Rembau</a>\n- <a href=\""http://www.malaysiakini.com/news/78601\"" target=\""_blank\"" class=\""analysis\"">Khairy takes on PKR for Rembau</a>"
354,2008,P132,PKR,,60186,46613,1299,821,41,0.0,22,0.0,36,0.0,1,0,0,0,0,0,0,0,0,0,"- <a href=\""http://www.malaysiakini.com/news/79245\"" target=\""_blank\"" class=\""analysis\"">The 'quiet kid' of Teluk Kemang</a>\r\n- <a href=\""http://www.malaysiakini.com/news/79052\"" target=\""_blank\"" class=\""analysis\"">For Kamarul, neutrality was not an option</a>"
355,2008,P133,UMNO,,47655,36331,1115,251,61,0.0,13,0.0,25,0.0,1,0,0,0,0,0,0,0,0,0,
356,2008,P134,UMNO,,40606,31715,717,119,82,0.0,4,0.0,14,0.0,0,0,0,0,0,0,0,0,0,0,
357,2008,P135,MCA,,54097,41854,1953,77,58,0.0,12,0.0,30,0.0,0,0,0,0,0,0,0,0,0,0,
358,2008,P136,UMNO,,60188,49675,1283,1972,70,0.0,2,0.0,25,0.0,0,0,0,0,0,0,0,0,0,0,
359,2008,P137,UMNO,,75777,62073,1173,708,53,0.0,6,0.0,41,0.0,0,0,0,0,0,0,0,0,0,0,
360,2008,P138,DAP,,84805,67479,1448,141,33,0.0,3,0.0,62,0.0,1,0,0,0,0,0,0,0,0,0,
361,2008,P139,UMNO,,56121,44181,990,5,71,0.0,3,0.0,16,0.0,0,0,0,0,0,0,0,0,0,0,
362,2008,P140,MIC,,40708,29699,847,1,41,0.0,11,0.0,48,0.0,0,0,0,0,0,0,0,0,0,0,
363,2008,P141,UMNO,,35138,26716,622,3,55,0.0,5,0.0,40,0.0,0,0,0,0,0,0,0,0,0,0,
364,2008,P142,MCA,,33468,24080,816,42,37,0.0,15,0.0,48,0.0,0,0,0,0,0,0,0,0,0,0,
365,2008,P143,UMNO,,40042,30313,787,51,63,0.0,4,0.0,33,0.0,0,0,0,0,0,0,0,0,0,0,
366,2008,P144,UMNO,,58501,44556,1433,102,53,0.0,4,0.0,43,0.0,0,0,0,0,0,0,0,0,0,0,
367,2008,P145,DAP,,56371,43155,1561,214,43,0.0,2,0.0,54,0.0,0,0,0,0,0,0,0,0,0,0,
368,2008,P146,UMNO,,41019,30275,902,62,62,0.0,2,0.0,36,0.0,0,0,0,0,0,0,0,0,0,0,
369,2008,P147,UMNO,,50234,39637,1033,71,73,0.0,0,0.0,26,0.0,0,0,0,0,0,0,0,0,0,0,
370,2008,P148,MCA,,34805,27488,907,30,57,0.0,4,0.0,39,0.0,0,0,0,0,0,0,0,0,0,0,
371,2008,P149,UMNO,,36845,29266,738,120,65,0.0,1,0.0,33,0.0,0,0,0,0,0,0,0,0,0,0,
372,2008,P150,UMNO,,70069,54103,1768,117,53,0.0,1,0.0,46,0.0,0,0,0,0,0,0,0,0,0,0,
373,2008,P151,GERAKAN,,34859,25998,924,27,54,0.0,10,0.0,36,0.0,0,0,0,0,0,0,0,0,0,0,
374,2008,P152,MCA,,71233,54567,1884,524,38,0.0,9,0.0,52,0.0,1,0,0,0,0,0,0,0,0,0,
375,2008,P153,UMNO,,33181,25211,739,66,54,0.0,10,0.0,36,0.0,0,0,0,0,0,0,0,0,0,0,
376,2008,P154,UMNO,,36445,27548,857,195,79,0.0,1,0.0,19,0.0,1,0,0,0,0,0,0,0,0,0,
377,2008,P155,UMNO,,32297,25349,1336,0,75,0.0,7,0.0,18,0.0,1,0,0,0,0,0,0,0,0,0,
378,2008,P156,UMNO,,34190,27109,653,53,84,0.0,2,0.0,13,0.0,0,0,0,0,0,0,0,0,0,0,
379,2008,P157,UMNO,,33002,0,0,0,87,0.0,1,0.0,12,0.0,0,0,0,0,0,0,0,0,0,0,
