id,state_name,code,name,x,y
175,SABAH,P177,BEAUFORT,500,270
176,SABAH,P178,SIPITANG,500,300
177,SABAH,P179,RANAU,420,260
178,SABAH,P180,KENINGAU,440,260
179,SABAH,P181,TENOM,460,260
180,SABAH,P182,PENSIANGAN,470,260
181,SABAH,P183,BELURAN,490,260
182,SABAH,P184,LIBARAN,510,260
183,SABAH,P185,BATU SAPI,520,260
184,SABAH,P186,SANDAKAN,430,240
185,SABAH,P187,KINABATANGAN,450,240
186,SABAH,P188,SILAM,460,240
187,SABAH,P189,SEMPORNA,480,240
188,SABAH,P190,TAWAU,440,220
189,SABAH,P191,KALABAKAN,470,220
190,SARAWAK,P192,MAS GADING,420,290
191,SARAWAK,P193,SANTUBONG,390,290
192,SARAWAK,P194,PETRAJAYA,450,300
193,SARAWAK,P195,BANDAR KUCHING,440,300
194,SARAWAK,P196,STAMPIN,420,300
195,SARAWAK,P197,KOTA SAMARAHAN,400,300
196,SARAWAK,P198,MAMBONG,380,300
197,SARAWAK,P199,SERIAN,450,320
198,SARAWAK,P200,BATANG SADONG,430,320
199,SARAWAK,P201,BATANG LUPAR,410,320
200,SARAWAK,P202,SRI AMAN,390,320
201,SARAWAK,P203,LUBOK ANTU,370,320
202,SARAWAK,P204,BETONG,440,330
203,SARAWAK,P205,SARATOK,420,330
204,SARAWAK,P206,TANJONG MANIS,400,330
205,SARAWAK,P207,IGAN,380,330
206,SARAWAK,P208,SARIKEI,360,330
207,SARAWAK,P209,JULAU,340,330
208,SARAWAK,P210,KANOWIT,410,340
209,SARAWAK,P211,LANANG,390,340
210,SARAWAK,P212,SIBU,370,340
211,SARAWAK,P213,MUKAH,350,340
212,SARAWAK,P214,SELANGAU,330,340
213,SARAWAK,P215,KAPIT,290,340
214,SARAWAK,P216,HULU RAJANG,370,360
215,SARAWAK,P217,BINTULU,350,360
216,SARAWAK,P218,SIBUTI,330,360
217,SARAWAK,P219,MIRI,310,360
218,SARAWAK,P220,BARAM,290,360
219,SARAWAK,P221,LIMBANG,330,370
220,SARAWAK,P222,LAWAS,320,370
221,LABUAN,P166,LABUAN,400,260
